"No","ID","Site","Name","Plot","Subplot","Micro_plot","Block","Row","Date","year_ID","Sampling_ID","Year","Soil_depth","depth","crop_sampling","cc_variant","Fraction","long","lat","BD","Clay","Silt","Sand","OC","TN","CN_ratio","d13C","d15N","MWD_cor","GMD_cor","DS","DS_pc","OC_Frac","TN_Frac","OC_Frac_pc","TN_Frac_pc"
59,"41-2","A","A41",41,1,NA,2,3,2020-10-19,"20-3",1,2020,2,"20-30",8,2,"bulk",9.02515486627294,52.7629340123076,1.387,8.09897973446797,63.4020721224934,28.4989481430386,1.724,0.146,11.8082191780822,-27.6453945120363,6.83797967566472,3.99477840759301,1.83861167967348,NA,NA,NA,NA,NA,NA
60,"41-3","A","A41",41,1,NA,2,3,2020-10-19,"20-3",1,2020,3,"30-40",8,2,"bulk",9.02515486627294,52.7629340123076,1.68,7.23504768254068,73.7424204598908,19.0225318575685,1.435,0.121,11.8595041322314,-27.4431819289251,7.034495231831,2.95417227620989,1.77357830393733,NA,NA,NA,NA,NA,NA
61,"42-1","A","A42",42,1,NA,2,3,2020-10-19,"20-3",1,2020,1,"0-10",8,1,"bulk",9.02525701268894,52.7628819836613,1.183,8.14332813064266,72.6754956325387,19.1811762368186,1.889,0.155,12.1870967741935,-26.7474920201645,6.55294425258443,2.31181469418948,1.11090722120797,NA,NA,NA,NA,NA,NA
62,"42-2","A","A42",42,1,NA,2,3,2020-10-19,"20-3",1,2020,2,"20-30",8,1,"bulk",9.02525701268894,52.7628819836613,1.322,7.4265950414932,72.6338100459284,19.9395949125784,1.879,0.166,11.3192771084337,-27.7403709621707,7.09082104446322,2.84869987263582,1.51699914043743,NA,NA,NA,NA,NA,NA
63,"42-3","A","A42",42,1,NA,2,3,2020-10-19,"20-3",1,2020,3,"30-40",8,1,"bulk",9.02525701268894,52.7628819836613,1.7,6.43886426266472,76.4496019009077,17.1115338364276,1.546,0.13,11.8923076923077,-27.5130110208508,7.34027491968557,2.84814303959339,1.37067043502647,NA,NA,NA,NA,NA,NA
64,"A 20-2 8-1","A","A8",8,1,NA,2,1,2020-10-19,"20-3",1,2020,1,"0-10",8,2,"16-8",9.02435825164329,52.7629876144873,0.949,7.57998296507118,73.0277215949139,19.3922954400149,2.009,0.168,11.9583333333333,-27.9049149465587,7.1273535439969,NA,NA,1.63,1.36458769359565,0.274145667643365,0.0229250732524069,1.31827957283599,1.19746705806779
65,"A 20-2 8-1","A","A8",8,1,NA,2,1,2020-10-19,"20-3",1,2020,1,"0-10",8,2,"8-4",9.02435825164329,52.7629876144873,0.949,7.57998296507118,73.0277215949139,19.3922954400149,2.096,0.196,10.6938775510204,-27.7279401447393,6.80410320053263,NA,NA,8.7,7.28338216827124,1.52659690246965,0.142754290498116,7.3409203573425,7.45662002416449
66,"A 20-2 8-1","A","A8",8,1,NA,2,1,2020-10-19,"20-3",1,2020,1,"0-10",8,2,"4-2",9.02435825164329,52.7629876144873,0.949,7.57998296507118,73.0277215949139,19.3922954400149,2.138,0.206,10.378640776699,-27.8174723692419,6.11126116944472,NA,NA,11.04,9.24236082042696,1.97601674340728,0.190392632900795,9.50203784290498,9.94495866980755
67,"A 20-2 8-1","A","A8",8,1,NA,2,1,2020-10-19,"20-3",1,2020,1,"0-10",8,2,"2-1",9.02435825164329,52.7629876144873,0.949,7.57998296507118,73.0277215949139,19.3922954400149,2.181,0.203,10.743842364532,-27.8709148838745,6.74727913939205,NA,NA,11.73,9.82000837170364,2.14174382586856,0.199346169945584,10.2989668235906,10.4126372480297
68,"A 20-2 8-1","A","A8",8,1,NA,2,1,2020-10-19,"20-3",1,2020,1,"0-10",8,2,"<1",9.02435825164329,52.7629876144873,0.949,7.57998296507118,73.0277215949139,19.3922954400149,2.058,0.188,10.9468085106383,-27.6457251856627,6.49575471133493,NA,NA,86.35,72.2896609460025,14.8772122226873,1.35904562578485,71.5397954033259,70.9883169999305
