"","depth","Fraction","X","cc_variant","Plot","OC_Frac","OC_Frac_pc","cc_variant.fal","OC_Frac.fal","OC_Frac_pc.fal","OC_ratio.pc","OC_ratio.fal"
"61","0-10 cm","2-1",97,"Mix4",10,1.93435739289882,8.61988253876946,"Fallow",2.30397481568515,11.4193844310946,83.9574017793067,97.2004981076749
"62","0-10 cm","2-1",337,"Oat",40,2.00431300268097,10.7489204904515,"Fallow",2.30397481568515,11.4193844310946,86.9937027538617,99.3295360593569
"63","0-10 cm","2-1",352,"Mustard",41,1.68672078741482,9.37118610035492,"Fallow",2.30397481568515,11.4193844310946,73.2091677362033,97.9518016692604
"64","0-10 cm","4-2",276,"Mix4",36,1.89866063954462,9.75857577645051,"Fallow",2.03935913398777,10.1248819761701,93.1008476095123,99.6336938002804
"65","0-10 cm","4-2",156,"Oat",14,1.77995316550974,8.76151820043836,"Fallow",2.03935913398777,10.1248819761701,87.2800251728697,98.6366362242683
"66","0-10 cm","4-2",81,"Fallow",9,2.60939759036145,11.7660307562621,"Fallow",2.03935913398777,10.1248819761701,127.951842658484,101.641148780092
"67","0-10 cm","4-2",171,"Oat",22,1.69749060856499,7.2825685252278,"Fallow",2.03935913398777,10.1248819761701,83.2364726876582,97.1576865490577
"68","0-10 cm","4-2",186,"Clover",23,1.73337779259753,8.37274668056326,"Fallow",2.03935913398777,10.1248819761701,84.9962011942487,98.2478647043932
"69","0-10 cm","4-2",231,"Mustard",26,1.77443173277662,9.46087894086413,"Fallow",2.03935913398777,10.1248819761701,87.009281651481,99.335996964694
"70","0-10 cm","4-2",126,"Phacelia",12,2.09372677595628,10.0963440315502,"Fallow",2.03935913398777,10.1248819761701,102.665917986804,99.9714620553801
"71","0-10 cm","4-2",66,"Mustard",8,1.97601674340728,9.50203784290498,"Fallow",2.03935913398777,10.1248819761701,96.894005105583,99.3771558667349
"72","0-10 cm","4-2",141,"Clover",13,1.75592160133445,8.79042778425688,"Fallow",2.03935913398777,10.1248819761701,86.1016371305292,98.6655458080868
"73","0-10 cm","4-2",261,"Mix12",28,1.88228950885399,10.2581637676683,"Fallow",2.03935913398777,10.1248819761701,92.298089016492,100.133281791498
"74","0-10 cm","4-2",306,"Phacelia",38,1.51563269407922,8.3505875762991,"Fallow",2.03935913398777,10.1248819761701,74.3190676335437,98.225705600129
"75","0-10 cm","4-2",201,"Phacelia",24,2.00618533400301,9.35229061149183,"Fallow",2.03935913398777,10.1248819761701,98.3733223132755,99.2274086353217
"76","0-10 cm","4-2",291,"Mix12",37,2.12260716971672,11.0550325295861,"Fallow",2.03935913398777,10.1248819761701,104.082068446972,100.930150553416
"77","0-10 cm","4-2",111,"Mix12",11,1.55562135112594,6.62162033111048,"Fallow",2.03935913398777,10.1248819761701,76.2799119193918,96.4967383549404
"78","0-10 cm","4-2",336,"Oat",40,1.72445459115282,9.24806917128308,"Fallow",2.03935913398777,10.1248819761701,84.5586519026111,99.123187195113
"79","0-10 cm","4-2",351,"Mustard",41,1.84695465634727,10.2614231903046,"Fallow",2.03935913398777,10.1248819761701,90.5654440930044,100.136541214134
"80","0-10 cm","4-2",96,"Mix4",10,2.50512585430905,11.163340698183,"Fallow",2.03935913398777,10.1248819761701,122.83887680982,101.038458722013
"81","0-10 cm","4-2",366,"Fallow",42,1.65521804763502,9.75822114267898,"Fallow",2.03935913398777,10.1248819761701,81.1636371470484,99.6333391665089
"82","0-10 cm","4-2",216,"Fallow",25,1.85346176396683,8.85039402956923,"Fallow",2.03935913398777,10.1248819761701,90.8845201944675,98.7255120533991
"83","0-10 cm","4-2",246,"Mix4",27,1.85735208211633,10.8375259998563,"Fallow",2.03935913398777,10.1248819761701,91.075281992361,100.712644023686
"84","0-10 cm","4-2",321,"Clover",39,1.57950300200133,9.26715754182499,"Fallow",2.03935913398777,10.1248819761701,77.4509489612439,99.1422755656549
"85","0-10 cm","8-4",80,"Fallow",9,1.68818524096386,7.61219353494421,"Fallow",1.62752033429482,8.11336815387892,103.72744385374,99.4988253810653
"86","0-10 cm","8-4",125,"Phacelia",12,1.65536443883985,7.98247845136701,"Fallow",1.62752033429482,8.11336815387892,101.710829902294,99.8691102974881
"87","0-10 cm","8-4",65,"Mustard",8,1.52659690246965,7.3409203573425,"Fallow",1.62752033429482,8.11336815387892,93.7989449533424,99.2275522034636
"88","0-10 cm","8-4",155,"Oat",14,1.08070586267458,5.3195916997244,"Fallow",1.62752033429482,8.11336815387892,66.4019883439942,97.2062235458455
"89","0-10 cm","8-4",275,"Mix4",36,2.10185417713042,10.8029327787064,"Fallow",1.62752033429482,8.11336815387892,129.144572441924,102.689564624827
"90","0-10 cm","8-4",170,"Oat",22,1.16464562985224,4.99655878165721,"Fallow",1.62752033429482,8.11336815387892,71.5595132860116,96.8831906277783
"91","0-10 cm","8-4",290,"Mix12",37,1.50382050639258,7.83224746152503,"Fallow",1.62752033429482,8.11336815387892,92.3994910972443,99.7188793076461
"92","0-10 cm","8-4",185,"Clover",23,1.42559353117706,6.88605424447513,"Fallow",1.62752033429482,8.11336815387892,87.5929781728196,98.7726860905962
"93","0-10 cm","8-4",305,"Phacelia",38,1.1196449208609,6.16883826967558,"Fallow",1.62752033429482,8.11336815387892,68.7945273105314,98.0554701157967
"94","0-10 cm","8-4",200,"Phacelia",24,1.24948518332496,5.82476023084647,"Fallow",1.62752033429482,8.11336815387892,76.7723239455773,97.7113920769675
"95","0-10 cm","8-4",95,"Mix4",10,1.61505750958493,7.1970185432573,"Fallow",1.62752033429482,8.11336815387892,99.2342446083608,99.0836503893784
"96","0-10 cm","8-4",110,"Mix12",11,1.48155963302752,6.30637100776937,"Fallow",1.62752033429482,8.11336815387892,91.0317125880618,98.1930028538904
"97","0-10 cm","8-4",230,"Mustard",26,1.31063048016701,6.98799287683148,"Fallow",1.62752033429482,8.11336815387892,80.5292844918518,98.8746247229526
"98","0-10 cm","8-4",350,"Mustard",41,1.07757718516026,5.98686896786902,"Fallow",1.62752033429482,8.11336815387892,66.2097524960977,97.8735008139901
"99","0-10 cm","8-4",245,"Mix4",27,0,0,"Fallow",1.62752033429482,8.11336815387892,0,91.8866318461211
"100","0-10 cm","8-4",140,"Clover",13,0.996240200166806,4.98733971305131,"Fallow",1.62752033429482,8.11336815387892,61.2121507285784,96.8739715591724
"101","0-10 cm","8-4",260,"Mix12",28,1.71797193451387,9.36266040351617,"Fallow",1.62752033429482,8.11336815387892,105.557632572268,101.249292249637
"102","0-10 cm","8-4",335,"Oat",40,1.24118632707775,6.65635213948559,"Fallow",1.62752033429482,8.11336815387892,76.2624159541171,98.5429839856067
"103","0-10 cm","8-4",320,"Clover",39,1.19161107404937,6.99134318694345,"Fallow",1.62752033429482,8.11336815387892,73.2163555158086,98.8779750330645
"104","0-10 cm","8-4",215,"Fallow",25,1.87822765725773,8.96865269472214,"Fallow",1.62752033429482,8.11336815387892,115.404251343596,100.855284540843
"105","0-10 cm","8-4",365,"Fallow",42,1.31614810466286,7.75925823197041,"Fallow",1.62752033429482,8.11336815387892,80.8683048026635,99.6458900780915
"106","20-30 cm","<1",133,"Phacelia",12,13.9239396226415,69.7842778221779,"Fallow",12.9429264541086,68.0896097021151,107.579531352598,101.694668120063
"107","20-30 cm","<1",118,"Mix12",11,14.6953880934439,69.2007697814416,"Fallow",12.9429264541086,68.0896097021151,113.539918082274,101.111160079326
"108","20-30 cm","<1",238,"Mustard",26,13.0224188298139,67.2351994766723,"Fallow",12.9429264541086,68.0896097021151,100.614176214221,99.1455897745572
"109","20-30 cm","<1",358,"Mustard",41,10.2706807294731,63.4119320821881,"Fallow",12.9429264541086,68.0896097021151,79.3536204187636,95.322322380073
"110","20-30 cm","<1",373,"Fallow",42,11.9889038785835,69.6537261170366,"Fallow",12.9429264541086,68.0896097021151,92.6290041212257,101.564116414921
"111","20-30 cm","<1",268,"Mix12",28,13.0957561342013,65.4851914646627,"Fallow",12.9429264541086,68.0896097021151,101.180796944451,97.3955817625476
"112","20-30 cm","<1",163,"Oat",14,12.4266193063101,72.501505648027,"Fallow",12.9429264541086,68.0896097021151,96.0108932888618,104.411895945912
"113","20-30 cm","<1",148,"Clover",13,13.7566443906106,70.7462243121404,"Fallow",12.9429264541086,68.0896097021151,106.286970256589,102.656614610025
"114","20-30 cm","<1",103,"Mix4",10,13.1825749149166,63.2641837962993,"Fallow",12.9429264541086,68.0896097021151,101.851578633763,95.1745740941842
"115","20-30 cm","<1",223,"Fallow",25,12.0766730769231,66.1639540441424,"Fallow",12.9429264541086,68.0896097021151,93.3071289537418,98.0743443420273
"116","20-30 cm","<1",343,"Oat",40,8.43396345041496,63.5516416090104,"Fallow",12.9429264541086,68.0896097021151,65.1627240587283,95.4620319068953
"117","20-30 cm","<1",253,"Mix4",27,12.0095110739657,71.9516508108329,"Fallow",12.9429264541086,68.0896097021151,92.7882200099605,103.862041108718
"118","20-30 cm","<1",283,"Mix4",36,13.0111536532352,68.794765496229,"Fallow",12.9429264541086,68.0896097021151,100.527138892185,100.705155794114
"119","20-30 cm","<1",178,"Oat",22,14.3250238593554,67.6951588812001,"Fallow",12.9429264541086,68.0896097021151,110.678399588742,99.605549179085
"120","20-30 cm","<1",73,"Mustard",8,13.1010930329579,70.64554291299,"Fallow",12.9429264541086,68.0896097021151,101.222031040739,102.555933210875
"121","20-30 cm","<1",298,"Mix12",37,10.2122566630462,61.666337390726,"Fallow",12.9429264541086,68.0896097021151,78.9022227643455,93.5767276886109
"122","20-30 cm","<1",88,"Fallow",9,14.7632024068193,68.4511489451664,"Fallow",12.9429264541086,68.0896097021151,114.063866925032,100.361539243051
"123","20-30 cm","<1",208,"Phacelia",24,12.7965855285095,69.9118659061434,"Fallow",12.9429264541086,68.0896097021151,98.8693366518151,101.822256204028
"124","20-30 cm","<1",328,"Clover",39,8.48328246184638,67.4046455202728,"Fallow",12.9429264541086,68.0896097021151,65.5437739828416,99.3150358181577
"125","20-30 cm","<1",193,"Clover",23,13.8450050083472,70.1642924026159,"Fallow",12.9429264541086,68.0896097021151,106.969664530174,102.074682700501
"126","20-30 cm","<1",313,"Phacelia",38,10.4871590052751,62.3545735331896,"Fallow",12.9429264541086,68.0896097021151,81.02618092175,94.2649638310745
"127","20-30 cm","16-8",129,"Phacelia",12,0.173626834381551,0.870186425411175,"Fallow",0.373741264362998,1.97372047534731,46.4564261261007,98.8964659500639
